i94port,i94port_name,i94port_state,i94port_relevant
COL,COLUMBUS,NM,RELEVANT
CDD,CRANE LAKE - ST. LOUIS CNTY,NM,RELEVANT
DNM,DEMING,NM,RELEVANT
LAS,LAS CRUCES,NM,RELEVANT
LOB,LORDSBURG,NM,RELEVANT
RUI,RUIDOSO,NM,RELEVANT
STR,SANTA TERESA,NM,RELEVANT
RNO,CANNON INTL - RENO/TAHOE,NV,RELEVANT
FLX,FALLON MUNICIPAL AIRPORT,NV,RELEVANT
LVG,LAS VEGAS,NV,RELEVANT
REN,RENO,NV,RELEVANT
ALB,ALBANY,NY,RELEVANT
AXB,ALEXANDRIA BAY,NY,RELEVANT
BUF,BUFFALO,NY,RELEVANT
CNH,CANNON CORNERS,NY,RELEVANT
CAP,CAPE VINCENT,NY,RELEVANT
CHM,CHAMPLAIN,NY,RELEVANT
CHT,CHATEAUGAY,NY,RELEVANT
CLA,CLAYTON,NY,RELEVANT
FTC,FORT COVINGTON,NY,RELEVANT
LAG,LA GUARDIA,NY,RELEVANT
LEW,LEWISTON,NY,RELEVANT
MAS,MASSENA,NY,RELEVANT
MAG,MCGUIRE AFB,NY,RELEVANT
MOO,MOORES,NY,RELEVANT
MRR,MORRISTOWN,NY,RELEVANT
NYC,NEW YORK,NY,RELEVANT
NIA,NIAGARA FALLS,NY,RELEVANT
OGD,OGDENSBURG,NY,RELEVANT
OSW,OSWEGO,NY,RELEVANT
ELM,REGIONAL ARPT - HORSEHEAD,NY,RELEVANT
ROC,ROCHESTER,NY,RELEVANT
ROU,ROUSES POINT,NY,RELEVANT
SWF,STEWART - ORANGE CNTY,NY,RELEVANT
SYR,SYRACUSE,NY,RELEVANT
THO,THOUSAND ISLAND BRIDGE,NY,RELEVANT
TRO,TROUT RIVER,NY,RELEVANT
WAT,WATERTOWN,NY,RELEVANT
HPN,WESTCHESTER - WHITE PLAINS,NY,RELEVANT
WRB,WHIRLPOOL BRIDGE,NY,RELEVANT
YOU,YOUNGSTOWN,NY,RELEVANT
AKR,AKRON,OH,RELEVANT
ATB,ASHTABULA,OH,RELEVANT
CIN,CINCINNATI,OH,RELEVANT
